Version	ErrorCorrectionLevel	NumericMode	AlphanumericMode	ByteMode	KanjiMode
0	L	0	0	0	0
	M	0	0	0	0
	Q	0	0	0	0
	H	0	0	0	0
1	L	41	25	17	10
	M	34	20	14	8
	Q	27	16	11	7
	H	17	10	7	4
2	L	77	47	32	20
	M	63	38	26	16
	Q	48	29	20	12
	H	34	20	14	8
3	L	127	77	53	32
	M	101	61	42	26
	Q	77	47	32	20
	H	58	35	24	15
4	L	187	114	78	48
	M	149	90	62	38
	Q	111	67	46	28
	H	82	50	34	21
5	L	255	154	106	65
	M	202	122	84	52
	Q	144	87	60	37
	H	106	64	44	27
6	L	322	195	134	82
	M	255	154	106	65
	Q	178	108	74	45
	H	139	84	58	36
7	L	370	224	154	95
	M	293	178	122	75
	Q	207	125	86	53
	H	154	93	64	39
8	L	461	279	192	118
	M	365	221	152	93
	Q	259	157	108	66
	H	202	122	84	52
9	L	552	335	230	141
	M	432	262	180	111
	Q	312	189	130	80
	H	235	143	98	60
10	L	652	395	271	167
	M	513	311	213	131
	Q	364	221	151	93
	H	288	174	119	74
11	L	772	468	321	198
	M	604	366	251	155
	Q	427	259	177	109
	H	331	200	137	85
12	L	883	535	367	226
	M	691	419	287	177
	Q	489	296	203	125
	H	374	227	155	96
13	L	1022	619	425	262
	M	796	483	331	204
	Q	580	352	241	149
	H	427	259	177	109
14	L	1101	667	458	282
	M	871	528	362	223
	Q	621	376	258	159
	H	468	283	194	120
15	L	1250	758	520	320
	M	991	600	412	254
	Q	703	426	292	180
	H	530	321	220	136
16	L	1408	854	586	361
	M	1082	656	450	277
	Q	775	470	322	198
	H	602	365	250	154
17	L	1548	938	644	397
	M	1212	734	504	310
	Q	876	531	364	224
	H	674	408	280	173
18	L	1725	1046	718	442
	M	1346	816	560	345
	Q	948	574	394	243
	H	746	452	310	191
19	L	1903	1153	792	488
	M	1500	909	624	384
	Q	1063	644	442	272
	H	813	493	338	208
20	L	2061	1249	858	528
	M	1600	970	666	410
	Q	1159	702	482	297
	H	919	557	382	235
21	L	2232	1352	929	572
	M	1708	1035	711	438
	Q	1224	742	509	314
	H	969	587	403	248
22	L	2409	1460	1003	618
	M	1872	1134	779	480
	Q	1358	823	565	348
	H	1056	640	439	270
23	L	2620	1588	1091	672
	M	2059	1248	857	528
	Q	1468	890	611	376
	H	1108	672	461	284
24	L	2812	1704	1171	721
	M	2188	1326	911	561
	Q	1588	963	661	407
	H	1228	744	511	315
25	L	3057	1853	1273	784
	M	2395	1451	997	614
	Q	1718	1041	715	440
	H	1286	779	535	330
26	L	3283	1990	1367	842
	M	2544	1542	1059	652
	Q	1804	1094	751	462
	H	1425	864	593	365
27	L	3517	2132	1465	902
	M	2701	1637	1125	692
	Q	1933	1172	805	496
	H	1501	910	625	385
28	L	3669	2223	1528	940
	M	2857	1732	1190	732
	Q	2085	1263	868	534
	H	1581	958	658	405
29	L	3909	2369	1628	1002
	M	3035	1839	1264	778
	Q	2181	1322	908	559
	H	1677	1016	698	430
30	L	4158	2520	1732	1066
	M	3289	1994	1370	843
	Q	2358	1429	982	604
	H	1782	1080	742	457
31	L	4417	2677	1840	1132
	M	3486	2113	1452	894
	Q	2473	1499	1030	634
	H	1897	1150	790	486
32	L	4686	2840	1952	1201
	M	3693	2238	1538	947
	Q	2670	1618	1112	684
	H	2022	1226	842	518
33	L	4965	3009	2068	1273
	M	3909	2369	1628	1002
	Q	2805	1700	1168	719
	H	2157	1307	898	553
34	L	5253	3183	2188	1347
	M	4134	2506	1722	1060
	Q	2949	1787	1228	756
	H	2301	1394	958	590
35	L	5529	3351	2303	1417
	M	4343	2632	1809	1113
	Q	3081	1867	1283	790
	H	2361	1431	983	605
36	L	5836	3537	2431	1496
	M	4588	2780	1911	1176
	Q	3244	1966	1351	832
	H	2524	1530	1051	647
37	L	6153	3729	2563	1577
	M	4775	2894	1989	1224
	Q	3417	2071	1423	876
	H	2625	1591	1093	673
38	L	6479	3927	2699	1661
	M	5039	3054	2099	1292
	Q	3599	2181	1499	923
	H	2735	1658	1139	701
39	L	6743	4087	2809	1729
	M	5313	3220	2213	1362
	Q	3791	2298	1579	972
	H	2927	1774	1219	750
40	L	7089	4296	2953	1817
	M	5596	3391	2331	1435
	Q	3993	2420	1663	1024
	H	3057	1852	1273	784
