Version and EC Level	Total Number of Data Codewords for this Version and EC Level	EC Codewords Per Block	Number of Blocks in Group 1	Number of Data Codewords in Each of Group 1's Blocks	Number of Blocks in Group 2	Number of Data Codewords in Each of Group 2's Blocks	Total Data Codewords
0-L	0	0	0	0			(0*0) = 0
0-M	0	0	0	0			(0*0) = 0
0-Q	0	0	0	0			(0*0) = 0
0-H	0	0	0	0			(0*0) = 0
1-L	19	7	1	19			(19*1) = 19
1-M	16	10	1	16			(16*1) = 16
1-Q	13	13	1	13			(13*1) = 13
1-H	9	17	1	9			(9*1) = 9
2-L	34	10	1	34			(34*1) = 34
2-M	28	16	1	28			(28*1) = 28
2-Q	22	22	1	22			(22*1) = 22
2-H	16	28	1	16			(16*1) = 16
3-L	55	15	1	55			(55*1) = 55
3-M	44	26	1	44			(44*1) = 44
3-Q	34	18	2	17			(17*2) = 34
3-H	26	22	2	13			(13*2) = 26
4-L	80	20	1	80			(80*1) = 80
4-M	64	18	2	32			(32*2) = 64
4-Q	48	26	2	24			(24*2) = 48
4-H	36	16	4	9			(9*4) = 36
5-L	108	26	1	108			(108*1) = 108
5-M	86	24	2	43			(43*2) = 86
5-Q	62	18	2	15	2	16	(15*2) + (16*2) = 62
5-H	46	22	2	11	2	12	(11*2) + (12*2) = 46
6-L	136	18	2	68			(68*2) = 136
6-M	108	16	4	27			(27*4) = 108
6-Q	76	24	4	19			(19*4) = 76
6-H	60	28	4	15			(15*4) = 60
7-L	156	20	2	78			(78*2) = 156
7-M	124	18	4	31			(31*4) = 124
7-Q	88	18	2	14	4	15	(14*2) + (15*4) = 88
7-H	66	26	4	13	1	14	(13*4) + (14*1) = 66
8-L	194	24	2	97			(97*2) = 194
8-M	154	22	2	38	2	39	(38*2) + (39*2) = 154
8-Q	110	22	4	18	2	19	(18*4) + (19*2) = 110
8-H	86	26	4	14	2	15	(14*4) + (15*2) = 86
9-L	232	30	2	116			(116*2) = 232
9-M	182	22	3	36	2	37	(36*3) + (37*2) = 182
9-Q	132	20	4	16	4	17	(16*4) + (17*4) = 132
9-H	100	24	4	12	4	13	(12*4) + (13*4) = 100
10-L	274	18	2	68	2	69	(68*2) + (69*2) = 274
10-M	216	26	4	43	1	44	(43*4) + (44*1) = 216
10-Q	154	24	6	19	2	20	(19*6) + (20*2) = 154
10-H	122	28	6	15	2	16	(15*6) + (16*2) = 122
11-L	324	20	4	81			(81*4) = 324
11-M	254	30	1	50	4	51	(50*1) + (51*4) = 254
11-Q	180	28	4	22	4	23	(22*4) + (23*4) = 180
11-H	140	24	3	12	8	13	(12*3) + (13*8) = 140
12-L	370	24	2	92	2	93	(92*2) + (93*2) = 370
12-M	290	22	6	36	2	37	(36*6) + (37*2) = 290
12-Q	206	26	4	20	6	21	(20*4) + (21*6) = 206
12-H	158	28	7	14	4	15	(14*7) + (15*4) = 158
13-L	428	26	4	107			(107*4) = 428
13-M	334	22	8	37	1	38	(37*8) + (38*1) = 334
13-Q	244	24	8	20	4	21	(20*8) + (21*4) = 244
13-H	180	22	12	11	4	12	(11*12) + (12*4) = 180
14-L	461	30	3	115	1	116	(115*3) + (116*1) = 461
14-M	365	24	4	40	5	41	(40*4) + (41*5) = 365
14-Q	261	20	11	16	5	17	(16*11) + (17*5) = 261
14-H	197	24	11	12	5	13	(12*11) + (13*5) = 197
15-L	523	22	5	87	1	88	(87*5) + (88*1) = 523
15-M	415	24	5	41	5	42	(41*5) + (42*5) = 415
15-Q	295	30	5	24	7	25	(24*5) + (25*7) = 295
15-H	223	24	11	12	7	13	(12*11) + (13*7) = 223
16-L	589	24	5	98	1	99	(98*5) + (99*1) = 589
16-M	453	28	7	45	3	46	(45*7) + (46*3) = 453
16-Q	325	24	15	19	2	20	(19*15) + (20*2) = 325
16-H	253	30	3	15	13	16	(15*3) + (16*13) = 253
17-L	647	28	1	107	5	108	(107*1) + (108*5) = 647
17-M	507	28	10	46	1	47	(46*10) + (47*1) = 507
17-Q	367	28	1	22	15	23	(22*1) + (23*15) = 367
17-H	283	28	2	14	17	15	(14*2) + (15*17) = 283
18-L	721	30	5	120	1	121	(120*5) + (121*1) = 721
18-M	563	26	9	43	4	44	(43*9) + (44*4) = 563
18-Q	397	28	17	22	1	23	(22*17) + (23*1) = 397
18-H	313	28	2	14	19	15	(14*2) + (15*19) = 313
19-L	795	28	3	113	4	114	(113*3) + (114*4) = 795
19-M	627	26	3	44	11	45	(44*3) + (45*11) = 627
19-Q	445	26	17	21	4	22	(21*17) + (22*4) = 445
19-H	341	26	9	13	16	14	(13*9) + (14*16) = 341
20-L	861	28	3	107	5	108	(107*3) + (108*5) = 861
20-M	669	26	3	41	13	42	(41*3) + (42*13) = 669
20-Q	485	30	15	24	5	25	(24*15) + (25*5) = 485
20-H	385	28	15	15	10	16	(15*15) + (16*10) = 385
21-L	932	28	4	116	4	117	(116*4) + (117*4) = 932
21-M	714	26	17	42			(42*17) = 714
21-Q	512	28	17	22	6	23	(22*17) + (23*6) = 512
21-H	406	30	19	16	6	17	(16*19) + (17*6) = 406
22-L	1006	28	2	111	7	112	(111*2) + (112*7) = 1006
22-M	782	28	17	46			(46*17) = 782
22-Q	568	30	7	24	16	25	(24*7) + (25*16) = 568
22-H	442	24	34	13			(13*34) = 442
23-L	1094	30	4	121	5	122	(121*4) + (122*5) = 1094
23-M	860	28	4	47	14	48	(47*4) + (48*14) = 860
23-Q	614	30	11	24	14	25	(24*11) + (25*14) = 614
23-H	464	30	16	15	14	16	(15*16) + (16*14) = 464
24-L	1174	30	6	117	4	118	(117*6) + (118*4) = 1174
24-M	914	28	6	45	14	46	(45*6) + (46*14) = 914
24-Q	664	30	11	24	16	25	(24*11) + (25*16) = 664
24-H	514	30	30	16	2	17	(16*30) + (17*2) = 514
25-L	1276	26	8	106	4	107	(106*8) + (107*4) = 1276
25-M	1000	28	8	47	13	48	(47*8) + (48*13) = 1000
